layer,cos_raw_cond,angle_deg,raw_l2,unit_l2,raw_norm,cond_norm
0,-0.04607478594743321,92.64082570131573,1.4464264834048313,1.4464264834048313,1.0,1.0
1,-0.04742470231542284,92.71825487632721,1.447359459371046,1.447359459371046,1.0,1.0
2,0.01522640815570516,89.12755736162653,1.4034055663594147,1.403405566359415,1.0,0.9999999999999999
3,-0.00020199902938851984,90.0115736919284,1.4143563900441702,1.4143563900441702,1.0,1.0
4,0.02172306098345261,88.75526237762521,1.3987687006911096,1.3987687006911096,1.0,0.9999999999999999
5,0.025565118590745128,88.53506699843753,1.3960192558910174,1.3960192558910174,1.0,1.0
6,0.05243860142487741,86.99411077746238,1.376634591004543,1.376634591004543,0.9999999999999999,1.0
7,0.07164635365958615,85.89144618729156,1.3626104698999004,1.3626104698999006,0.9999999999999999,1.0
8,0.11259491543213734,83.53507719527275,1.332220015288663,1.332220015288663,1.0,0.9999999999999999
9,0.10019479485571357,84.2496122625317,1.3414955871297427,1.3414955871297427,0.9999999999999999,1.0
10,0.08040697594210923,85.38804089873946,1.3561659367923167,1.3561659367923167,1.0,1.0
11,0.0566638780088433,86.75165906241982,1.3735618821088162,1.3735618821088162,1.0,1.0
12,0.056183300082850725,86.77923808515465,1.3739117147161597,1.3739117147161597,1.0,0.9999999999999999
13,0.023730853718479973,88.64019458747387,1.3973325633373896,1.3973325633373896,1.0,0.9999999999999999
14,-0.012931046755709746,90.7409150530778,1.4233278236272275,1.4233278236272275,1.0,1.0
15,-0.0028499787684579496,90.16329197618826,1.4162273678816253,1.4162273678816253,1.0,1.0
16,-0.004953840613741634,90.28383532046783,1.417712129181197,1.4177121291811972,0.9999999999999999,1.0
17,-0.012352386339947511,90.7077576034189,1.422921210988119,1.422921210988119,1.0,1.0
18,-0.08637333402615392,94.9550015853025,1.4740239713289292,1.4740239713289292,0.9999999999999999,1.0
19,-0.06203824238076644,93.55681349354609,1.4574211761743867,1.4574211761743867,0.9999999999999999,1.0
20,-0.04498357842162474,92.57823921076569,1.445671870392189,1.445671870392189,1.0,1.0
21,-0.01961536307139689,91.12394960107059,1.4280163606005336,1.4280163606005338,0.9999999999999999,0.9999999999999999
22,-0.028685934559541416,91.64380847786653,1.4343541644653468,1.4343541644653468,1.0,1.0
23,-0.00921553476243741,90.52801872178372,1.420714985324247,1.420714985324247,1.0,1.0
24,-0.08689230215112904,94.98484848400237,1.4743760050618897,1.47437600506189,0.9999999999999999,0.9999999999999999
25,-0.035959061871310614,92.06074675280729,1.4394158967243003,1.4394158967243003,0.9999999999999999,1.0
26,0.03931251889985814,87.74697799948255,1.3861367040087655,1.3861367040087653,0.9999999999999999,1.0000000000000002
27,0.00862736758534218,89.50568211678802,1.4080998774338829,1.4080998774338829,1.0,1.0
28,0.055357344077132324,86.82663564811664,1.3745127543408737,1.3745127543408737,1.0,1.0
29,0.0816609803151264,85.31595466870817,1.3552409525135178,1.355240952513518,0.9999999999999999,0.9999999999999999
30,0.11901056145313535,83.16499727834058,1.3273955239843658,1.327395523984366,0.9999999999999999,0.9999999999999999
31,0.1472335901219124,81.53335707882835,1.3059604970121321,1.3059604970121321,1.0,1.0
